tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,slip_angle,lane_start,lane_end,piece_index,in_piece_distance,is_crashed
0,GradualAccelerator3,keimola,0.0,0.0,0.0,0.0,inf,0.0,0,0,0,0.0,FIXME
1,GradualAccelerator3,keimola,0.1005,0.020100000000000003,0.020100000000000003,0.020100000000000003,inf,0.0,0,0,0,0.020100000000000003,FIXME
2,GradualAccelerator3,keimola,0.101,0.039898,0.039898,0.019798,inf,0.0,0,0,0,0.05999800000000001,FIXME
3,GradualAccelerator3,keimola,0.1015,0.05940004,0.05940004,0.01950204,inf,0.0,0,0,0,0.11939804000000001,FIXME
4,GradualAccelerator3,keimola,0.10200000000000001,0.07861203920000001,0.07861203920000001,0.01921199920000001,inf,0.0,0,0,0,0.19801007920000002,FIXME
5,GradualAccelerator3,keimola,0.10250000000000001,0.09753979841600002,0.09753979841600002,0.018927759216000012,inf,0.0,0,0,0,0.29554987761600005,FIXME
6,GradualAccelerator3,keimola,0.10300000000000001,0.11618900244768005,0.11618900244768005,0.018649204031680022,inf,0.0,0,0,0,0.4117388800636801,FIXME
7,GradualAccelerator3,keimola,0.10350000000000001,0.13456522239872637,0.13456522239872637,0.018376219951046324,inf,0.0,0,0,0,0.5463041024624065,FIXME
8,GradualAccelerator3,keimola,0.10400000000000001,0.15267391795075191,0.15267391795075191,0.018108695552025544,inf,0.0,0,0,0,0.6989780204131584,FIXME
9,GradualAccelerator3,keimola,0.10450000000000001,0.1705204395917369,0.1705204395917369,0.01784652164098499,inf,0.0,0,0,0,0.8694984600048953,FIXME
10,GradualAccelerator3,keimola,0.10500000000000001,0.18811003079990207,0.18811003079990207,0.017589591208165167,inf,0.0,0,0,0,1.0576084908047974,FIXME
11,GradualAccelerator3,keimola,0.10550000000000001,0.20544783018390422,0.20544783018390422,0.01733779938400215,inf,0.0,0,0,0,1.2630563209887016,FIXME
12,GradualAccelerator3,keimola,0.10600000000000001,0.22253887358022606,0.22253887358022606,0.017091043396321837,inf,0.0,0,0,0,1.4855951945689276,FIXME
