tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,slip_angle,lane_start,lane_end,piece_index,in_piece_distance,is_crashed
0,KeimolaAccelerator2,keimola,0.0,0.0,0.0,0.0,inf,0.0,0,0,0,0.0,FIXME
1,KeimolaAccelerator2,keimola,0.1,0.020000000000000004,0.020000000000000004,0.020000000000000004,inf,0.0,0,0,0,0.020000000000000004,FIXME
2,KeimolaAccelerator2,keimola,0.1,0.03960000000000001,0.03960000000000001,0.019600000000000006,inf,0.0,0,0,0,0.059600000000000014,FIXME
3,KeimolaAccelerator2,keimola,0.1,0.05880800000000001,0.05880800000000001,0.019208000000000003,inf,0.0,0,0,0,0.11840800000000003,FIXME
4,KeimolaAccelerator2,keimola,0.1,0.07763184000000002,0.07763184000000002,0.01882384000000001,inf,0.0,0,0,0,0.19603984000000005,FIXME
5,KeimolaAccelerator2,keimola,0.1,0.09607920319999999,0.09607920319999999,0.01844736319999997,inf,0.0,0,0,0,0.29211904320000004,FIXME
6,KeimolaAccelerator2,keimola,0.1,0.11415761913600003,0.11415761913600003,0.018078415936000042,inf,0.0,0,0,0,0.40627666233600007,FIXME
7,KeimolaAccelerator2,keimola,0.1,0.13187446675328002,0.13187446675328002,0.017716847617279985,inf,0.0,0,0,0,0.5381511290892801,FIXME
8,KeimolaAccelerator2,keimola,0.1,0.1492369774182144,0.1492369774182144,0.017362510664934383,inf,0.0,0,0,0,0.6873881065074945,FIXME
9,KeimolaAccelerator2,keimola,0.1,0.1662522378698501,0.1662522378698501,0.017015260451635705,inf,0.0,0,0,0,0.8536403443773446,FIXME
10,KeimolaAccelerator2,keimola,0.1,0.1829271931124532,0.1829271931124532,0.016674955242603096,inf,0.0,0,0,0,1.0365675374897978,FIXME
11,KeimolaAccelerator2,keimola,0.1,0.19926864925020404,0.19926864925020404,0.016341456137750843,inf,0.0,0,0,0,1.2358361867400018,FIXME
