tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,slip_angle,lane_start,lane_end,piece_index,in_piece_distance,is_crashed
0,KeimolaAccelerator,keimola,0.0,0.0,0.0,0.0,inf,0.0,0,0,0,0.0,FIXME
1,KeimolaAccelerator,keimola,0.5,0.1,0.1,0.1,inf,0.0,0,0,0,0.1,FIXME
2,KeimolaAccelerator,keimola,0.5,0.19800000000000004,0.19800000000000004,0.09800000000000003,inf,0.0,0,0,0,0.29800000000000004,FIXME
3,KeimolaAccelerator,keimola,0.5,0.2940400000000001,0.2940400000000001,0.09604000000000004,inf,0.0,0,0,0,0.5920400000000001,FIXME
4,KeimolaAccelerator,keimola,0.5,0.38815920000000004,0.38815920000000004,0.09411919999999996,inf,0.0,0,0,0,0.9801992000000002,FIXME
5,KeimolaAccelerator,keimola,0.5,0.48039601600000004,0.48039601600000004,0.092236816,inf,0.0,0,0,0,1.4605952160000002,FIXME
6,KeimolaAccelerator,keimola,0.5,0.5707880956799998,0.5707880956799998,0.09039207967999974,inf,0.0,0,0,0,2.03138331168,FIXME
7,KeimolaAccelerator,keimola,0.5,0.6593723337664001,0.6593723337664001,0.08858423808640037,inf,0.0,0,0,0,2.6907556454464,FIXME
8,KeimolaAccelerator,keimola,0.5,0.7461848870910721,0.7461848870910721,0.08681255332467197,inf,0.0,0,0,0,3.4369405325374722,FIXME
9,KeimolaAccelerator,keimola,0.5,0.8312611893492501,0.8312611893492501,0.08507630225817797,inf,0.0,0,0,0,4.268201721886722,FIXME
10,KeimolaAccelerator,keimola,0.5,0.9146359655622653,0.9146359655622653,0.08337477621301526,inf,0.0,0,0,0,5.182837687448988,FIXME
11,KeimolaAccelerator,keimola,0.5,0.99634324625102,0.99634324625102,0.08170728068875466,inf,0.0,0,0,0,6.179180933700008,FIXME
12,KeimolaAccelerator,keimola,0.5,1.0764163813259993,1.0764163813259993,0.08007313507497926,inf,0.0,0,0,0,7.255597315026007,FIXME
13,KeimolaAccelerator,keimola,0.5,1.15488805369948,1.15488805369948,0.07847167237348085,inf,0.0,0,0,0,8.410485368725487,FIXME
14,KeimolaAccelerator,keimola,0.5,1.2317902926254902,1.2317902926254902,0.07690223892601011,inf,0.0,0,0,0,9.642275661350977,FIXME
15,KeimolaAccelerator,keimola,0.5,1.3071544867729799,1.3071544867729799,0.07536419414748963,inf,0.0,0,0,0,10.949430148123957,FIXME
16,KeimolaAccelerator,keimola,0.5,1.3810113970375202,1.3810113970375202,0.07385691026454033,inf,0.0,0,0,0,12.330441545161477,FIXME
17,KeimolaAccelerator,keimola,0.5,1.4533911690967702,1.4533911690967702,0.07237977205925006,inf,0.0,0,0,0,13.783832714258248,FIXME
18,KeimolaAccelerator,keimola,0.5,1.5243233457148353,1.5243233457148353,0.07093217661806506,inf,0.0,0,0,0,15.308156059973083,FIXME
19,KeimolaAccelerator,keimola,0.5,1.5938368788005377,1.5938368788005377,0.0695135330857024,inf,0.0,0,0,0,16.90199293877362,FIXME
20,KeimolaAccelerator,keimola,0.5,1.661960141224526,1.661960141224526,0.06812326242398825,inf,0.0,0,0,0,18.563953079998146,FIXME
21,KeimolaAccelerator,keimola,0.5,1.7287209384000377,1.7287209384000377,0.06676079717551175,inf,0.0,0,0,0,20.292674018398184,FIXME
22,KeimolaAccelerator,keimola,0.5,1.7941465196320365,1.7941465196320365,0.06542558123199882,inf,0.0,0,0,0,22.08682053803022,FIXME
23,KeimolaAccelerator,keimola,0.5,1.858263589239396,1.858263589239396,0.06411706960735941,inf,0.0,0,0,0,23.945084127269617,FIXME
24,KeimolaAccelerator,keimola,0.5,1.9210983174546072,1.9210983174546072,0.0628347282152113,inf,0.0,0,0,0,25.866182444724224,FIXME
25,KeimolaAccelerator,keimola,0.5,1.982676351105514,1.982676351105514,0.06157803365090686,inf,0.0,0,0,0,27.848858795829738,FIXME
26,KeimolaAccelerator,keimola,0.5,2.0430228240834047,2.0430228240834047,0.06034647297789064,inf,0.0,0,0,0,29.891881619913143,FIXME
27,KeimolaAccelerator,keimola,0.5,2.1021623676017356,2.1021623676017356,0.05913954351833084,inf,0.0,0,0,0,31.99404398751488,FIXME
28,KeimolaAccelerator,keimola,0.5,2.1601191202497034,2.1601191202497034,0.057956752647967846,inf,0.0,0,0,0,34.15416310776458,FIXME
29,KeimolaAccelerator,keimola,0.5,2.2169167378447057,2.2169167378447057,0.05679761759500224,inf,0.0,0,0,0,36.37107984560929,FIXME
30,KeimolaAccelerator,keimola,0.5,2.272578403087813,2.272578403087813,0.05566166524310745,inf,0.0,0,0,0,38.6436582486971,FIXME
31,KeimolaAccelerator,keimola,0.5,2.327126835026057,2.327126835026057,0.05454843193824388,inf,0.0,0,0,0,40.97078508372316,FIXME
32,KeimolaAccelerator,keimola,0.5,2.3805842983255374,2.3805842983255374,0.05345746329948042,inf,0.0,0,0,0,43.351369382048695,FIXME
33,KeimolaAccelerator,keimola,0.5,2.4329726123590234,2.4329726123590234,0.05238831403348598,inf,0.0,0,0,0,45.78434199440772,FIXME
34,KeimolaAccelerator,keimola,0.5,2.4843131601118458,2.4843131601118458,0.051340547752822374,inf,0.0,0,0,0,48.268655154519564,FIXME
