tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,relative_angle,slip_angle,angle_velocity,angle_acceleration,can_switch,lane_start,lane_end,bend_direction,piece_index,in_piece_distance,is_crashed
0,Thresh110_,keimola,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
1,Thresh110_,keimola,0.4,0.08000000000000002,0.08000000000000002,0.08000000000000002,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.08000000000000002,0
2,Thresh110_,keimola,0.4,0.15840000000000004,0.15840000000000004,0.07840000000000003,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.23840000000000006,0
3,Thresh110_,keimola,0.4,0.23523200000000005,0.23523200000000005,0.07683200000000001,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.4736320000000001,0
4,Thresh110_,keimola,0.4,0.3105273600000001,0.3105273600000001,0.07529536000000003,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.7841593600000002,0
5,Thresh110_,keimola,0.4,0.38431681279999996,0.38431681279999996,0.07378945279999988,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.1684761728000002,0
6,Thresh110_,keimola,0.4,0.45663047654400013,0.45663047654400013,0.07231366374400017,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.6251066493440003,0
7,Thresh110_,keimola,0.4,0.5274978670131201,0.5274978670131201,0.07086739046911994,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,2.1526045163571204,0
8,Thresh110_,keimola,0.4,0.5969479096728576,0.5969479096728576,0.06945004265973753,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,2.749552426029978,0
9,Thresh110_,keimola,0.4,0.6650089514794004,0.6650089514794004,0.06806104180654282,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,3.4145613775093784,0
10,Thresh110_,keimola,0.4,0.7317087724498128,0.7317087724498128,0.06669982097041238,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,4.146270149959191,0
11,Thresh110_,keimola,0.4,0.7970745970008162,0.7970745970008162,0.06536582455100337,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,4.943344746960007,0
12,Thresh110_,keimola,0.4,0.8611331050607998,0.8611331050607998,0.06405850805998359,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,5.804477852020807,0
13,Thresh110_,keimola,0.4,0.9239104429595839,0.9239104429595839,0.06277733789878415,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,6.728388294980391,0
14,Thresh110_,keimola,0.4,0.9854322341003927,0.9854322341003927,0.0615217911408088,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,7.713820529080784,0
15,Thresh110_,keimola,0.4,1.045723589418384,1.045723589418384,0.060291355317991346,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,8.759544118499168,0
16,Thresh110_,keimola,0.4,1.1048091176300172,1.1048091176300172,0.059085528211633154,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,9.864353236129185,0
17,Thresh110_,keimola,0.4,1.1627129352774173,1.1627129352774173,0.05790381764740005,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,11.027066171406602,0
18,Thresh110_,keimola,0.4,1.2194586765718682,1.2194586765718682,0.05674574129445098,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,12.24652484797847,0
19,Thresh110_,keimola,0.4,1.2750695030404309,1.2750695030404309,0.055610826468562635,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,13.521594351018901,0
20,Thresh110_,keimola,0.4,1.3295681129796222,1.3295681129796222,0.05449860993919131,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,14.851162463998524,0
21,Thresh110_,keimola,0.4,1.3829767507200295,1.3829767507200295,0.05340863774040727,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,16.234139214718553,0
22,Thresh110_,keimola,0.4,1.4353172157056306,1.4353172157056306,0.05234046498560119,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,17.669456430424184,0
23,Thresh110_,keimola,0.4,1.486610871391516,1.486610871391516,0.0512936556858854,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,19.1560673018157,0
24,Thresh110_,keimola,0.4,1.5368786539636865,1.5368786539636865,0.05026778257217046,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,20.692945955779386,0
25,Thresh110_,keimola,0.4,1.5861410808844134,1.5861410808844134,0.04926242692072691,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,22.2790870366638,0
26,Thresh110_,keimola,0.4,1.6344182592667238,1.6344182592667238,0.04827717838231038,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,23.913505295930523,0
27,Thresh110_,keimola,0.4,1.6817298940813892,1.6817298940813892,0.04731163481466538,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,25.595235190011913,0
28,Thresh110_,keimola,0.4,1.7280952961997613,1.7280952961997613,0.046365402118372145,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,27.323330486211674,0
29,Thresh110_,keimola,0.4,1.773533390275766,1.773533390275766,0.04543809407600463,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,29.09686387648744,0
30,Thresh110_,keimola,0.4,1.818062722470252,1.818062722470252,0.04452933219448596,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,30.914926598957692,0
31,Thresh110_,keimola,0.4,1.861701468020847,1.861701468020847,0.043638745550595104,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,32.77662806697854,0
32,Thresh110_,keimola,0.4,1.9044674386604257,1.9044674386604257,0.042765970639578654,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,34.681095505638964,0
