tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,relative_angle,slip_angle,angle_velocity,angle_acceleration,can_switch,lane_start,lane_end,bend_direction,piece_index,in_piece_distance,is_crashed
0,Thresh40,germany,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
1,Thresh40,germany,0.25,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
2,Thresh40,germany,0.25,0.05,0.05,0.05,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.05,0
3,Thresh40,germany,0.25,0.09900000000000002,0.09900000000000002,0.049000000000000016,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.14900000000000002,0
4,Thresh40,germany,0.25,0.14702000000000004,0.14702000000000004,0.04802000000000002,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.29602000000000006,0
5,Thresh40,germany,0.25,0.19407960000000002,0.19407960000000002,0.04705959999999998,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.4900996000000001,0
6,Thresh40,germany,0.25,0.24019800800000002,0.24019800800000002,0.046118408,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.7302976080000001,0
7,Thresh40,germany,0.25,0.2853940478399999,0.2853940478399999,0.04519603983999987,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.01569165584,0
8,Thresh40,germany,0.25,0.32968616688320007,0.32968616688320007,0.044292119043200184,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.3453778227232,0
9,Thresh40,germany,0.25,0.37309244354553606,0.37309244354553606,0.043406276662335985,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.7184702662687361,0
10,Thresh40,germany,0.25,0.41563059467462504,0.41563059467462504,0.042538151129088986,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,2.134100860943361,0
11,Thresh40,germany,0.25,0.45731798278113267,0.45731798278113267,0.04168738810650763,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,2.591418843724494,0
12,Thresh40,germany,0.25,0.49817162312551,0.49817162312551,0.04085364034437733,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,3.089590466850004,0
13,Thresh40,germany,0.25,0.5382081906629996,0.5382081906629996,0.04003656753748963,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,3.6277986575130035,0
14,Thresh40,germany,0.25,0.57744402684974,0.57744402684974,0.039235836186740425,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,4.2052426843627435,0
15,Thresh40,germany,0.25,0.6158951463127451,0.6158951463127451,0.03845111946300506,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,4.821137830675489,0
16,Thresh40,germany,0.25,0.6535772433864899,0.6535772433864899,0.037682097073744814,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,5.4747150740619785,0
17,Thresh40,germany,0.25,0.6905056985187601,0.6905056985187601,0.036928455132270166,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,6.165220772580739,0
18,Thresh40,germany,0.25,0.7266955845483851,0.7266955845483851,0.03618988602962503,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,6.891916357129124,0
