tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,relative_angle,slip_angle,angle_velocity,angle_acceleration,can_switch,lane_start,lane_end,bend_direction,piece_index,in_piece_distance,is_crashed
0,ThresholdSearcher,keimola,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
1,ThresholdSearcher,keimola,0.3,0.06,0.06,0.06,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.06,0
2,ThresholdSearcher,keimola,0.3,0.11879999999999999,0.11879999999999999,0.05879999999999999,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.1788,0
3,ThresholdSearcher,keimola,0.3,0.176424,0.176424,0.05762400000000001,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.355224,0
4,ThresholdSearcher,keimola,0.3,0.23289552000000002,0.23289552000000002,0.056471520000000025,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.58811952,0
5,ThresholdSearcher,keimola,0.3,0.2882376095999999,0.2882376095999999,0.055342089599999866,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.8763571295999999,0
6,ThresholdSearcher,keimola,0.3,0.3424728574079998,0.3424728574079998,0.05423524780799993,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.2188299870079997,0
7,ThresholdSearcher,keimola,0.3,0.39562340025984,0.39562340025984,0.05315054285184018,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.6144533872678397,0
8,ThresholdSearcher,keimola,0.3,0.4477109322546431,0.4477109322546431,0.052087531994803093,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,2.062164319522483,0
9,ThresholdSearcher,keimola,0.3,0.4987567136095503,0.4987567136095503,0.05104578135490723,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,2.560921033132033,0
10,ThresholdSearcher,keimola,0.3,0.5487815793373594,0.5487815793373594,0.050024865727809065,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,3.1097026124693925,0
11,ThresholdSearcher,keimola,0.3,0.5978059477506119,0.5978059477506119,0.04902436841325253,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,3.7075085602200044,0
12,ThresholdSearcher,keimola,0.3,0.6458498287956003,0.6458498287956003,0.04804388104498836,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,4.353358389015605,0
13,ThresholdSearcher,keimola,0.3,0.6929328322196877,0.6929328322196877,0.047083003424087444,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,5.046291221235292,0
14,ThresholdSearcher,keimola,0.3,0.7390741755752943,0.7390741755752943,0.0461413433556066,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,5.785365396810587,0
15,ThresholdSearcher,keimola,0.3,0.7842926920637883,0.7842926920637883,0.045218516488493954,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,6.569658088874375,0
16,ThresholdSearcher,keimola,0.3,0.8286068382225125,0.8286068382225125,0.0443141461587242,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,7.398264927096887,0
17,ThresholdSearcher,keimola,0.3,0.8720347014580625,0.8720347014580625,0.043427863235550035,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,8.27029962855495,0
18,ThresholdSearcher,keimola,0.3,0.9145940074289012,0.9145940074289012,0.04255930597083868,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,9.184893635983851,0
19,ThresholdSearcher,keimola,0.3,0.9563021272803223,0.9563021272803223,0.04170811985142109,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,10.141195763264173,0
20,ThresholdSearcher,keimola,0.3,0.9971760847347166,0.9971760847347166,0.04087395745439437,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,11.13837184799889,0
21,ThresholdSearcher,keimola,0.3,1.0372325630400212,1.0372325630400212,0.040056478305304566,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,12.175604411038911,0
22,ThresholdSearcher,keimola,0.3,1.0764879117792212,1.0764879117792212,0.0392553487392,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,13.252092322818132,0
