tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,relative_angle,slip_angle,angle_velocity,angle_acceleration,can_switch,lane_start,lane_end,bend_direction,piece_index,in_piece_distance,is_crashed
0,gradual2,keimola,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
1,gradual2,keimola,0.5900299999999999,0.118006,0.118006,0.118006,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.118006,0
2,gradual2,keimola,0.5900599999999999,0.23365787999999998,0.23365787999999998,0.11565187999999998,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.35166388,0
3,gradual2,keimola,0.5900899999999999,0.3470027223999999,0.3470027223999999,0.11334484239999992,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.6986666023999999,0
4,gradual2,keimola,0.5901199999999999,0.4580866679519999,0.4580866679519999,0.11108394555200002,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.1567532703519998,0
5,gradual2,keimola,0.5901499999999998,0.5669549345929599,0.5669549345929599,0.10886826664095994,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.7237082049449597,0
6,gradual2,keimola,0.5901799999999998,0.6736518359011006,0.6736518359011006,0.10669690130814069,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,2.3973600408460602,0
7,gradual2,keimola,0.5902099999999998,0.7782207991830785,0.7782207991830785,0.10456896328197796,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,3.1755808400291388,0
8,gradual2,keimola,0.5902399999999998,0.8807043831994168,0.8807043831994168,0.10248358401633828,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,4.056285223228556,0
9,gradual2,keimola,0.5902699999999997,0.9811442955354286,0.9811442955354286,0.1004399123360118,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,5.037429518763984,0
10,gradual2,keimola,0.5902999999999997,1.07958140962472,1.07958140962472,0.09843711408929146,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,6.117010928388704,0
11,gradual2,keimola,0.5903299999999997,1.1760557814322254,1.1760557814322254,0.0964743718075054,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,7.29306670982093,0
12,gradual2,keimola,0.5903599999999997,1.270606665803581,1.270606665803581,0.09455088437135561,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,8.56367337562451,0
13,gradual2,keimola,0.5903899999999996,1.3632725324875103,1.3632725324875103,0.09266586668392929,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,9.926945908112021,0
14,gradual2,keimola,0.5904199999999996,1.4540910818377597,1.4540910818377597,0.09081854935024936,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,11.38103698994978,0
15,gradual2,keimola,0.5904499999999996,1.5430992602010036,1.5430992602010036,0.08900817836324393,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,12.924136250150784,0
16,gradual2,keimola,0.5904799999999996,1.6303332749969837,1.6303332749969837,0.08723401479598003,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,14.554469525147768,0
17,gradual2,keimola,0.5905099999999995,1.7158286094970432,1.7158286094970432,0.08549533450005953,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,16.27029813464481,0
18,gradual2,keimola,0.5905399999999995,1.799620037307104,1.799620037307104,0.08379142781006088,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,18.069918171951915,0
19,gradual2,keimola,0.5905699999999995,1.8817416365609603,1.8817416365609603,0.0821215992538562,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,19.951659808512876,0
20,gradual2,keimola,0.5905999999999995,1.96222680382974,1.96222680382974,0.08048516726877963,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,21.913886612342615,0
21,gradual2,keimola,0.5906299999999994,2.0411082677531454,2.0411082677531454,0.07888146392340545,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,23.95499488009576,0
22,gradual2,keimola,0.5906599999999994,2.118418102398085,2.118418102398085,0.07730983464493946,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,26.073412982493846,0
23,gradual2,keimola,0.5906899999999994,2.19418774035012,2.19418774035012,0.0757696379520354,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,28.267600722843966,0
24,gradual2,keimola,0.5907199999999994,2.268447985543119,2.268447985543119,0.07426024519299901,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,30.536048708387085,0
25,gradual2,keimola,0.5907499999999993,2.3412290258322557,2.3412290258322557,0.07278104028913646,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,32.87727773421934,0
26,gradual2,keimola,0.5907799999999993,2.412560445315613,2.412560445315613,0.0713314194833572,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,35.289838179534954,0
27,gradual2,keimola,0.5908099999999993,2.482471236409296,2.482471236409296,0.06991079109368314,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,37.77230941594425,0
28,gradual2,keimola,0.5908399999999993,2.550989811681113,2.550989811681113,0.06851857527181693,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,40.32329922762536,0
29,gradual2,keimola,0.5908699999999992,2.6181440154474913,2.6181440154474913,0.06715420376637837,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,42.941443243072854,0
30,gradual2,keimola,0.5908999999999992,2.6839611351385386,2.6839611351385386,0.06581711969104731,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,45.62540437821139,0
31,gradual2,keimola,0.5909299999999992,2.748467912435771,2.748467912435771,0.06450677729723253,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,48.373872290647164,0
32,gradual2,keimola,0.5909599999999992,2.8116905541870523,2.8116905541870523,0.06322264175128112,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,51.185562844834216,0
33,gradual2,keimola,0.5909899999999991,2.873654743103309,2.873654743103309,0.061964188916256546,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,54.059217587937525,0
34,gradual2,keimola,0.5910199999999991,2.9343856482412463,2.9343856482412463,0.06073090513793744,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,56.99360323617877,0
35,gradual2,keimola,0.5910499999999991,2.993907935276418,2.993907935276418,0.05952228703517193,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,59.98751117145519,0
36,gradual2,keimola,0.591079999999999,3.052245776570892,3.052245776570892,0.05833784129447395,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,63.03975694802608,0
37,gradual2,keimola,0.591109999999999,3.1094228610394765,3.1094228610394765,0.05717708446858438,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,66.14917980906556,0
38,gradual2,keimola,0.591139999999999,3.1654624038186796,3.1654624038186796,0.05603954277920309,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,69.31464221288424,0
39,gradual2,keimola,0.591169999999999,3.2203871557423156,3.2203871557423156,0.054924751923635995,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,72.53502936862655,0
40,gradual2,keimola,0.591199999999999,3.2742194126274597,3.2742194126274597,0.05383225688514415,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,75.80924878125401,0
41,gradual2,keimola,0.5912299999999989,3.3269810243749163,3.3269810243749163,0.05276161174745653,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,79.13622980562893,0
42,gradual2,keimola,0.5912599999999989,3.378693403887411,3.378693403887411,0.05171237951249452,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,82.51492320951634,0
43,gradual2,keimola,0.5912899999999989,3.429377535809664,3.429377535809664,0.05068413192225307,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,85.944300745326,0
44,gradual2,keimola,0.5913199999999988,3.479053985093472,3.479053985093472,0.04967644928380821,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,89.42335473041948,0
45,gradual2,keimola,0.5913499999999988,3.527742905391605,3.527742905391605,0.0486889202981331,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,92.95109763581108,0
46,gradual2,keimola,0.5913799999999988,3.5754640472837735,3.5754640472837735,0.04772114189216836,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,96.52656168309485,0
47,gradual2,keimola,0.5914099999999988,3.6222367663380908,3.6222367663380908,0.046772719054317236,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,0.1487984494329453,0
48,gradual2,keimola,0.5914399999999987,3.6680800310113337,3.6680800310113337,0.045843264673242956,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,3.816878480444279,0
49,gradual2,keimola,0.5914699999999987,3.7130124303911067,3.7130124303911067,0.044932399379773,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,7.529890910835386,0
50,gradual2,keimola,0.5914999999999987,3.757052181783285,3.757052181783285,0.04403975139217842,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,11.286943092618671,0
51,gradual2,keimola,0.5915299999999987,3.8002171381476177,3.8002171381476177,0.043164956364332596,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,15.087160230766289,0
52,gradual2,keimola,0.5915599999999986,3.8425247953846675,3.8425247953846675,0.04230765723704977,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,18.929685026150956,0
