tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,relative_angle,slip_angle,angle_velocity,angle_acceleration,can_switch,lane_start,lane_end,bend_direction,piece_index,in_piece_distance,is_crashed
0,harmony,keimola,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
1,harmony,keimola,1.0,0.2,0.2,0.2,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.2,0
2,harmony,keimola,1.0,0.3960000000000001,0.3960000000000001,0.19600000000000006,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,0.5960000000000001,0
3,harmony,keimola,1.0,0.5880800000000002,0.5880800000000002,0.19208000000000008,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.1840800000000002,0
4,harmony,keimola,1.0,0.7763184000000001,0.7763184000000001,0.18823839999999992,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,1.9603984000000003,0
5,harmony,keimola,1.0,0.9607920320000001,0.9607920320000001,0.184473632,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,2.9211904320000004,0
6,harmony,keimola,1.0,1.1415761913599995,1.1415761913599995,0.18078415935999947,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,4.06276662336,0
7,harmony,keimola,1.0,1.3187446675328003,1.3187446675328003,0.17716847617280074,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,5.3815112908928,0
8,harmony,keimola,1.0,1.4923697741821442,1.4923697741821442,0.17362510664934394,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,6.8738810650749445,0
9,harmony,keimola,1.0,1.6625223786985002,1.6625223786985002,0.17015260451635594,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,8.536403443773445,0
10,harmony,keimola,1.0,1.8292719311245307,1.8292719311245307,0.1667495524260305,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,10.365675374897975,0
11,harmony,keimola,1.0,1.99268649250204,1.99268649250204,0.16341456137750932,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,12.358361867400015,0
12,harmony,keimola,1.0,2.1528327626519985,2.1528327626519985,0.16014627014995853,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,14.511194630052014,0
13,harmony,keimola,1.0,2.30977610739896,2.30977610739896,0.1569433447469617,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,16.820970737450974,0
14,harmony,keimola,1.0,2.4635805852509804,2.4635805852509804,0.15380447785202023,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,19.284551322701954,0
15,harmony,keimola,1.0,2.6143089735459597,2.6143089735459597,0.15072838829497925,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,21.898860296247914,0
16,harmony,keimola,1.0,2.7620227940750404,2.7620227940750404,0.14771382052908066,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,24.660883090322955,0
17,harmony,keimola,1.0,2.9067823381935405,2.9067823381935405,0.14475954411850012,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,27.567665428516495,0
18,harmony,keimola,1.0,3.0486466914296706,3.0486466914296706,0.14186435323613011,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,30.616312119946166,0
19,harmony,keimola,1.0,3.1876737576010754,3.1876737576010754,0.1390270661714048,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,33.80398587754724,0
20,harmony,keimola,1.0,3.323920282449052,3.323920282449052,0.1362465248479765,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,37.12790615999629,0
21,harmony,keimola,1.0,3.4574418768000754,3.4574418768000754,0.1335215943510235,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,40.58534803679637,0
22,harmony,keimola,1.0,3.588293039264073,3.588293039264073,0.13085116246399764,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,44.17364107606044,0
23,harmony,keimola,1.0,3.716527178478792,3.716527178478792,0.12823413921471882,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,47.89016825453923,0
